charging_demand_index,seasonal_regime_code,special_event_flag,network_availability_flag,daily_activity_cycle_sin,daily_activity_cycle_cos,atmospheric_resistance_factor,ambient_exposure_level,precipitation_impact_index,winter_disruption_index
225.1743235525685,0,0,1,-9.172,-179.881,767.744,314.276,-472.403,1087.646
611.1146279066645,0,0,1,18.573,27.661,-25.146,-10.105,17.893,19.995
932.4876222306149,2,0,1,65.315,115.549,-84.786,-43.334,70.454,86.304
770.441016587439,2,0,1,65.779,96.681,-31.641,-17.805,33.73,161.123
353.07004093752164,0,0,1,39.138,70.806,-51.533,-26.948,41.924,54.969
110.64657553398513,2,0,1,26.609,-78.621,538.476,217.269,-325.295,875.023
996.5985449584111,1,0,1,-461.222,-2593.662,9184.012,3767.087,-5697.794,11899.886
176.30068253298646,0,0,1,-12.575,-204.688,863.995,353.444,-531.585,1217.093
279.91695075636534,2,0,1,35.334,61.394,-45.29,-22.726,38.378,44.264
417.5568587261001,0,0,1,44.507,59.501,-6.005,-5.083,11.049,130.292
880.7090836203182,1,0,1,59.992,106.677,-78.017,-40.11,64.712,80.2
19.99181449793773,1,0,1,95.841,159.546,-128.211,-58.642,98.434,121.537
209.0620011959448,1,1,1,130.017,226.226,-171.344,-85.19,137.052,171.761
2164.342436404622,2,0,1,-74.617,-619.909,2446.268,997.344,-1506.502,3329.155
257.73028153552855,0,1,1,28.079,50.356,-33.996,-18.795,30.301,37.029
704.9712788202966,2,0,1,139.255,142.12,270.814,95.741,-134.391,851.05
1701.1647396391547,2,0,1,39.938,72.172,-52.459,-27.421,42.879,55.759
617.2015521898909,1,0,1,-370.513,-2203.698,7942.56,3255.449,-4921.934,10383.065
77.00697407844041,1,0,1,99.731,166.791,-102.017,-53.171,85.39,178.077
377.19185216522436,1,0,1,59.819,105.45,-77.442,-39.441,64.628,78.198
483.6301866217016,1,0,1,22.454,35.028,-25.285,-11.443,20.679,31.203
1234.169295212551,1,0,1,-28.127,-314.775,1311.887,533.272,-805.666,1826.236
1382.5730758382117,2,0,1,25.774,-245.331,1334.62,538.156,-808.331,2031.697
1004.2193487626438,1,1,1,-19.109,-284.143,1196.734,488.868,-735.555,1680.808
104.26382813517814,0,0,1,43.442,78.811,-55.542,-29.519,48.083,58.282
630.2230799249045,1,0,1,17.391,26.379,-23.098,-9.56,17.269,18.502
34.270050633408985,0,0,1,29.219,48.213,-37.919,-17.689,30.722,34.29
301.4963144768785,0,0,1,39.594,47.734,51.814,15.539,-22.556,206.656
318.25483962558405,0,0,1,0.572,-1.221,-2.432,0.199,-1.427,1.052
15.612895277594568,1,0,1,61.959,91.828,-44.704,-20.594,38.276,133.97
286.5750494397988,0,1,1,31.044,48.951,-40.187,-18.133,30.238,36.372
626.6175203235379,2,0,1,-402.371,-2243.039,7916.731,3247.986,-4913.156,10242.754
282.7664888565238,0,0,1,-202.66,-1202.827,4318.066,1771.458,-2677.78,5639.44
128.04893675068655,0,1,1,132.429,230.219,-173.246,-86.287,140.7,172.385
1871.3649349909529,2,0,1,78.031,138.123,-102.473,-52.164,83.123,105.34
266.1749145439567,2,0,1,22.194,36.734,-28.583,-13.425,23.56,25.788
228.14974225495726,0,0,1,-256.023,-1444.404,5124.317,2101.324,-3179.13,6646.199
1090.4943911602622,1,0,1,-267.786,-1860.167,7000.202,2863.937,-4325.357,9340.044
371.4540049357667,2,0,1,52.398,92.172,-68.21,-34.087,56.542,69.085
152.9583155824722,1,0,1,14.97,26.818,-18.224,-9.731,17.318,18.007
311.16046126443365,2,0,1,44.079,73.537,-57.572,-27.188,46.198,53.39
303.04109652400575,1,0,1,112.386,69.432,409.483,156.342,-225.803,957.517
167.45289190844346,1,0,1,21.496,37.402,-26.964,-13.674,23.891,25.929
75.26359018088762,1,0,1,55.138,39.12,167.12,64.031,-92.424,422.14
1239.9632489869946,2,0,1,-174.302,-1248.059,4757.522,1943.08,-2935.589,6376.435
767.6271492881751,2,0,1,-351.081,-2138.07,7765.929,3181.567,-4809.474,10188.463
84.86688892230025,0,0,1,58.775,98.658,-77.005,-36.618,61.526,72.367
1033.9796841062378,1,0,1,-141.106,-911.509,3358.627,1375.896,-2079.503,4441.88
853.7281224022628,2,0,1,-25.005,-346.758,1456.003,594.257,-894.002,2038.712
138.17083028517524,0,0,1,92.84,154.405,-122.297,-57.701,94.779,115.94
1269.772819342441,2,0,1,-3.571,-221.702,1007.426,410.406,-616.091,1454.158
418.5946782273921,1,0,1,47.652,86.069,-61.503,-32.369,52.132,64.509
399.6133937083098,1,0,1,88.383,-11.04,632.699,248.837,-368.099,1208.971
99.31191430131172,0,1,1,43.211,-40.513,463.579,185.388,-274.152,811.943
176.19726041390237,0,0,1,23.975,-14.478,225.379,88.2,-134.694,406.826
66.2939303583138,2,0,1,63.924,99.992,-48.323,-23.819,40.646,145.29
767.6569383513762,1,0,1,-56.71,-431.466,1678.724,684.117,-1034.404,2268.381
1292.1707390995216,2,0,1,95.467,129.979,8.835,-4.253,14.505,318.515
142.8479888530128,0,0,1,140.78,244.201,-183.135,-91.843,147.55,184.949
348.76298305609134,0,0,1,85.959,3.833,545.044,213.664,-315.565,1073.753
1323.753461016621,2,0,1,69.179,51.494,207.432,78.481,-110.8,520.703
1995.9621943380293,1,0,1,-113.745,-784.95,2967.227,1212.098,-1832.417,3962.664
496.23552538987684,1,0,1,-4.953,-116.58,504.036,206.219,-308.645,714.478
295.9239242936367,0,0,1,-60.157,-513.733,2011.903,821.889,-1241.801,2735.566
67.62209659177658,0,0,1,31.187,54.469,-39.638,-20.094,34.242,38.808
73.66378282087489,0,0,1,27.835,48.537,-35.525,-17.941,30.411,34.807
457.3532476701207,2,0,1,13.546,21.109,-17.617,-7.607,13.92,14.429
34.685158241573575,0,0,1,36.643,59.999,-48.127,-22.131,37.901,43.468
